Date,New Cases
2020-01-01,2
2020-01-10,1
2020-01-16,1
2020-01-21,1
2020-01-22,1
2020-01-24,1
2020-01-31,1
2020-02-01,1
2020-02-02,2
2020-02-05,1
2020-02-07,1
2020-02-10,2
2020-02-11,1
2020-02-14,2
2020-02-15,1
2020-02-16,1
2020-02-17,2
2020-02-19,1
2020-02-20,6
2020-02-21,2
2020-02-22,4
2020-02-23,4
2020-02-24,4
2020-02-25,3
2020-02-26,2
2020-02-27,4
2020-02-28,6
2020-02-29,5
2020-03-01,20
2020-03-02,14
2020-03-03,18
2020-03-04,18
2020-03-05,30
2020-03-06,42
2020-03-07,34
2020-03-08,55
2020-03-09,81
2020-03-10,126
2020-03-11,134
2020-03-12,155
2020-03-13,192
2020-03-14,189
2020-03-15,253
2020-03-16,358
2020-03-17,363
2020-03-18,402
2020-03-19,383
2020-03-20,481
2020-03-21,437
2020-03-22,416
2020-03-23,931
2020-03-24,842
2020-03-25,838
2020-03-26,738
2020-03-27,939
2020-03-28,975
2020-03-29,761
2020-03-30,1172
2020-03-31,1293
2020-04-01,1187
2020-04-02,1548
2020-04-03,1179
2020-04-04,1433
2020-04-05,1441
2020-04-06,1225
2020-04-07,1324
2020-04-08,1247
2020-04-09,1455
2020-04-10,1457
2020-04-11,1269
2020-04-12,1162
2020-04-13,1467
2020-04-14,1509
2020-04-15,1464
2020-04-16,1859
2020-04-17,1894
2020-04-18,1561
2020-04-19,1465
2020-04-20,1747
2020-04-21,1595
2020-04-22,1668
2020-04-23,1766
2020-04-24,1536
2020-04-25,1393
2020-04-26,1436
2020-04-27,1614
2020-04-28,1519
2020-04-29,1553
2020-04-30,1626
2020-05-01,1742
2020-05-02,1483
2020-05-03,2589
2020-05-04,1207
2020-05-05,1241
2020-05-06,1316
2020-05-07,1358
2020-05-08,1362
2020-05-09,1256
2020-05-10,1159
2020-05-11,1190
2020-05-12,1203
2020-05-13,1088
2020-05-14,1256
2020-05-15,1271
2020-05-16,1138
2020-05-17,1101
2020-05-18,1117
2020-05-19,1031
2020-05-20,1033
2020-05-21,1103
2020-05-22,975
2020-05-23,1028
2020-05-24,893
2020-05-25,974
2020-05-26,970
2020-05-27,851
2020-05-28,861
2020-05-29,911
2020-05-30,731
2020-05-31,745
2020-06-01,629
2020-06-02,508
2020-06-03,572
2020-06-04,499
2020-06-05,518
2020-06-06,458
2020-06-07,432
2020-06-08,445
2020-06-09,360
2020-06-10,413
2020-06-11,387
2020-06-12,413
2020-06-13,335
2020-06-14,346
2020-06-15,381
2020-06-16,345
2020-06-17,363
2020-06-18,350
2020-06-19,402
2020-06-20,326
2020-06-21,303
2020-06-22,299
2020-06-23,287
2020-06-24,251
2020-06-25,469
2020-06-26,205
2020-06-27,197
2020-06-28,196
2020-06-29,517
2020-06-30,258
2020-07-01,237
2020-07-02,261
2020-07-03,246
2020-07-04,275
2020-07-05,220
2020-07-06,336
2020-07-07,282
2020-07-08,297
2020-07-09,355
2020-07-10,323
2020-07-11,323
2020-07-12,338
2020-07-13,414
2020-07-14,391
2020-07-15,448
2020-07-16,454
2020-07-17,503
2020-07-18,402
2020-07-19,399
2020-07-20,502
2020-07-21,515
2020-07-22,478
2020-07-23,438
2020-07-24,462
2020-07-25,420
2020-07-26,420
2020-07-27,437
2020-07-28,451
2020-07-29,470
2020-07-30,353
2020-07-31,438
2020-08-01,340
2020-08-02,334
2020-08-03,321
2020-08-04,380
2020-08-05,370
2020-08-06,429
2020-08-07,419
2020-08-08,378
2020-08-09,309
2020-08-10,432
2020-08-11,425
2020-08-12,363
2020-08-13,444
2020-08-14,455
2020-08-15,382
2020-08-16,341
2020-08-17,407
2020-08-18,315
2020-08-19,376
2020-08-20,459
2020-08-21,456
2020-08-22,450
2020-08-23,410
2020-08-24,392
2020-08-25,417
2020-08-26,491
2020-08-27,526
2020-08-28,471
2020-08-29,587
2020-08-30,500
2020-08-31,544
2020-09-01,553
2020-09-02,555
2020-09-03,669
2020-09-04,703
2020-09-05,691
2020-09-06,665
2020-09-07,733
2020-09-08,645
2020-09-09,748
2020-09-10,775
2020-09-11,830
2020-09-12,906
2020-09-13,862
2020-09-14,944
2020-09-15,1145
2020-09-16,1152
2020-09-17,1208
2020-09-18,1088
2020-09-19,1124
2020-09-20,1200
2020-09-21,1541
2020-09-22,1384
2020-09-23,1430
2020-09-24,1534
2020-09-25,1627
2020-09-26,1708
2020-09-27,1872
2020-09-28,1838
2020-09-29,1859
2020-09-30,1882
2020-10-01,1872
2020-10-02,1972
2020-10-03,2088
2020-10-04,1984
2020-10-05,2388
2020-10-06,2380
2020-10-07,2154
2020-10-08,2251
2020-10-09,2403
2020-10-10,2379
2020-10-11,2028
2020-10-12,2002
2020-10-13,2153
2020-10-14,2540
2020-10-15,2369
2020-10-16,2456
2020-10-17,2483
2020-10-18,2453
2020-10-19,2509
2020-10-20,2522
2020-10-21,2857
2020-10-22,2739
2020-10-23,2633
2020-10-24,2819
2020-10-25,2457
2020-10-26,2298
2020-10-27,2597
2020-10-28,2663
2020-10-29,2789
2020-10-30,3153
2020-10-31,2885
2020-11-01,2442
2020-11-02,2203
2020-11-03,1064
