CERB Week End,Total Paid CAD
2020-04-19,19804000000
2020-04-26,24250000000
2020-05-05,28570000000
2020-05-10,30482000000
2020-05-19,38410000000
2020-05-24,40330000000
2020-06-01,42589000000
2020-06-07,44639000000
2020-06-14,50240000000
2020-06-21,52144000000
2020-06-28,53528000000
2020-07-05,54787000000
2020-07-12,59412000000
2020-07-19,61260000000
2020-07-26,62750000000
2020-08-02,64260000000
2020-08-09,68460000000
2020-08-16,70030000000
2020-08-23,71250000000
2020-08-30,72550000000
2020-09-06,76430000000
2020-09-13,77990000000
2020-09-20,79300000000
2020-09-27,80620000000
2020-10-04,81640000000
